total_numeric,sexo_fct,nacionalidad_fct,grupo_quinquenal_de_edad_fct,periodo_fct,raza
932243,Mujeres,Española,De 0 a 4 años,1 de enero de 2003,Elfo
917288,Mujeres,Española,De 0 a 4 años,1 de julio de 2002,Orco
907266,Mujeres,Española,De 0 a 4 años,1 de enero de 2002,Ent
1033723,Hombres,Española,De 5 a 9 años,1 de enero de 2021,Humano
1044670,Hombres,Española,De 5 a 9 años,1 de julio de 2020,Hobbit
1058369,Hombres,Española,De 5 a 9 años,1 de enero de 2020,Ent
1071859,Hombres,Española,De 5 a 9 años,1 de julio de 2019,Ent
1085920,Hombres,Española,De 5 a 9 años,1 de enero de 2019,Orco
1106606,Hombres,Española,De 5 a 9 años,1 de julio de 2018,Ent
1128424,Hombres,Española,De 5 a 9 años,1 de enero de 2018,Ent
1140490,Hombres,Española,De 5 a 9 años,1 de julio de 2017,Ent
1152556,Hombres,Española,De 5 a 9 años,1 de enero de 2017,Orco
1158246,Hombres,Española,De 5 a 9 años,1 de julio de 2016,Humano
1163862,Hombres,Española,De 5 a 9 años,1 de enero de 2016,Troll
1165915,Hombres,Española,De 5 a 9 años,1 de julio de 2015,Orco
1168128,Hombres,Española,De 5 a 9 años,1 de enero de 2015,Hobbit
1166519,Hombres,Española,De 5 a 9 años,1 de julio de 2014,Hobbit
1163919,Hombres,Española,De 5 a 9 años,1 de enero de 2014,Ent
1152841,Hombres,Española,De 5 a 9 años,1 de julio de 2013,Ent
1143034,Hombres,Española,De 5 a 9 años,1 de enero de 2013,Ent
1132857,Hombres,Española,De 5 a 9 años,1 de julio de 2012,Orco
1122344,Hombres,Española,De 5 a 9 años,1 de enero de 2012,Ent
1108653,Hombres,Española,De 5 a 9 años,1 de julio de 2011,Ent
1094991,Hombres,Española,De 5 a 9 años,1 de enero de 2011,Ent
1083072,Hombres,Española,De 5 a 9 años,1 de julio de 2010,Ent
1071455,Hombres,Española,De 5 a 9 años,1 de enero de 2010,Ent
1056327,Hombres,Española,De 5 a 9 años,1 de julio de 2009,Ent
1041965,Hombres,Española,De 5 a 9 años,1 de enero de 2009,Hobbit
1026531,Hombres,Española,De 5 a 9 años,1 de julio de 2008,Ent
1010832,Hombres,Española,De 5 a 9 años,1 de enero de 2008,Humano
998133,Hombres,Española,De 5 a 9 años,1 de julio de 2007,Orco
985451,Hombres,Española,De 5 a 9 años,1 de enero de 2007,Elfo
971775,Hombres,Española,De 5 a 9 años,1 de julio de 2006,Orco
957877,Hombres,Española,De 5 a 9 años,1 de enero de 2006,Orco
946673,Hombres,Española,De 5 a 9 años,1 de julio de 2005,Orco
935565,Hombres,Española,De 5 a 9 años,1 de enero de 2005,Ent
929609,Hombres,Española,De 5 a 9 años,1 de julio de 2004,Orco
923643,Hombres,Española,De 5 a 9 años,1 de enero de 2004,Humano
924671,Hombres,Española,De 5 a 9 años,1 de julio de 2003,Humano
925892,Hombres,Española,De 5 a 9 años,1 de enero de 2003,Humano
932086,Hombres,Española,De 5 a 9 años,1 de julio de 2002,Orco
938597,Hombres,Española,De 5 a 9 años,1 de enero de 2002,Ent
974888,Mujeres,Española,De 5 a 9 años,1 de enero de 2021,Enano
984980,Mujeres,Española,De 5 a 9 años,1 de julio de 2020,Ent
997662,Mujeres,Española,De 5 a 9 años,1 de enero de 2020,Ent
1009718,Mujeres,Española,De 5 a 9 años,1 de julio de 2019,Ent
1022430,Mujeres,Española,De 5 a 9 años,1 de enero de 2019,Ent
1041183,Mujeres,Española,De 5 a 9 años,1 de julio de 2018,Elfo
1061104,Mujeres,Española,De 5 a 9 años,1 de enero de 2018,Ent
1072588,Mujeres,Española,De 5 a 9 años,1 de julio de 2017,Elfo
1084021,Mujeres,Española,De 5 a 9 años,1 de enero de 2017,Humano
1089468,Mujeres,Española,De 5 a 9 años,1 de julio de 2016,Ent
1094551,Mujeres,Española,De 5 a 9 años,1 de enero de 2016,Hobbit
1097398,Mujeres,Española,De 5 a 9 años,1 de julio de 2015,Orco
1100064,Mujeres,Española,De 5 a 9 años,1 de enero de 2015,Orco
1098888,Mujeres,Española,De 5 a 9 años,1 de julio de 2014,Humano
1096907,Mujeres,Española,De 5 a 9 años,1 de enero de 2014,Humano
1087781,Mujeres,Española,De 5 a 9 años,1 de julio de 2013,Orco
1079767,Mujeres,Española,De 5 a 9 años,1 de enero de 2013,Ent
1070575,Mujeres,Española,De 5 a 9 años,1 de julio de 2012,Ent
1061093,Mujeres,Española,De 5 a 9 años,1 de enero de 2012,Ent
1049390,Mujeres,Española,De 5 a 9 años,1 de julio de 2011,Ent
1037699,Mujeres,Española,De 5 a 9 años,1 de enero de 2011,Humano
1025272,Mujeres,Española,De 5 a 9 años,1 de julio de 2010,Humano
1013198,Mujeres,Española,De 5 a 9 años,1 de enero de 2010,Ent
999896,Mujeres,Española,De 5 a 9 años,1 de julio de 2009,Ent
987251,Mujeres,Española,De 5 a 9 años,1 de enero de 2009,Ent
971589,Mujeres,Española,De 5 a 9 años,1 de julio de 2008,Ent
955759,Mujeres,Española,De 5 a 9 años,1 de enero de 2008,Enano
944411,Mujeres,Española,De 5 a 9 años,1 de julio de 2007,Ent
932996,Mujeres,Española,De 5 a 9 años,1 de enero de 2007,Ent
920127,Mujeres,Española,De 5 a 9 años,1 de julio de 2006,Ent
906938,Mujeres,Española,De 5 a 9 años,1 de enero de 2006,Humano
896783,Mujeres,Española,De 5 a 9 años,1 de julio de 2005,Humano
886771,Mujeres,Española,De 5 a 9 años,1 de enero de 2005,Ent
880800,Mujeres,Española,De 5 a 9 años,1 de julio de 2004,Orco
874803,Mujeres,Española,De 5 a 9 años,1 de enero de 2004,Hobbit
876067,Mujeres,Española,De 5 a 9 años,1 de julio de 2003,Elfo
877430,Mujeres,Española,De 5 a 9 años,1 de enero de 2003,Hobbit
883563,Mujeres,Española,De 5 a 9 años,1 de julio de 2002,Orco
890022,Mujeres,Española,De 5 a 9 años,1 de enero de 2002,Ent
1179200,Hombres,Española,De 10 a 14 años,1 de enero de 2021,Ent
1179284,Hombres,Española,De 10 a 14 años,1 de julio de 2020,Ent
1181181,Hombres,Española,De 10 a 14 años,1 de enero de 2020,Elfo
1178486,Hombres,Española,De 10 a 14 años,1 de julio de 2019,Ent
1176269,Hombres,Española,De 10 a 14 años,1 de enero de 2019,Orco
1164829,Hombres,Española,De 10 a 14 años,1 de julio de 2018,Orco
1154142,Hombres,Española,De 10 a 14 años,1 de enero de 2018,Ent
1142753,Hombres,Española,De 10 a 14 años,1 de julio de 2017,Hobbit
1131422,Hombres,Española,De 10 a 14 años,1 de enero de 2017,Humano
1118408,Hombres,Española,De 10 a 14 años,1 de julio de 2016,Ent
1105747,Hombres,Española,De 10 a 14 años,1 de enero de 2016,Hobbit
1096110,Hombres,Española,De 10 a 14 años,1 de julio de 2015,Hobbit
1085988,Hombres,Española,De 10 a 14 años,1 de enero de 2015,Orco
1072213,Hombres,Española,De 10 a 14 años,1 de julio de 2014,Ent
1057088,Hombres,Española,De 10 a 14 años,1 de enero de 2014,Ent
1042548,Hombres,Española,De 10 a 14 años,1 de julio de 2013,Ent
1028466,Hombres,Española,De 10 a 14 años,1 de enero de 2013,Orco
1019303,Hombres,Española,De 10 a 14 años,1 de julio de 2012,Elfo
1008979,Hombres,Española,De 10 a 14 años,1 de enero de 2012,Ent
997934,Hombres,Española,De 10 a 14 años,1 de julio de 2011,Ent
986032,Hombres,Española,De 10 a 14 años,1 de enero de 2011,Elfo
974587,Hombres,Española,De 10 a 14 años,1 de julio de 2010,Ent
963289,Hombres,Española,De 10 a 14 años,1 de enero de 2010,Ent
957323,Hombres,Española,De 10 a 14 años,1 de julio de 2009,Orco
952052,Hombres,Española,De 10 a 14 años,1 de enero de 2009,Hobbit
953283,Hombres,Española,De 10 a 14 años,1 de julio de 2008,Enano
954336,Hombres,Española,De 10 a 14 años,1 de enero de 2008,Hobbit
959721,Hombres,Española,De 10 a 14 años,1 de julio de 2007,Ent
965482,Hombres,Española,De 10 a 14 años,1 de enero de 2007,Ent
972493,Hombres,Española,De 10 a 14 años,1 de julio de 2006,Troll
979782,Hombres,Española,De 10 a 14 años,1 de enero de 2006,Elfo
987722,Hombres,Española,De 10 a 14 años,1 de julio de 2005,Elfo
995827,Hombres,Española,De 10 a 14 años,1 de enero de 2005,Ent
1004905,Hombres,Española,De 10 a 14 años,1 de julio de 2004,Humano
1014110,Hombres,Española,De 10 a 14 años,1 de enero de 2004,Humano
1020804,Hombres,Española,De 10 a 14 años,1 de julio de 2003,Ent
1027664,Hombres,Española,De 10 a 14 años,1 de enero de 2003,Orco
1032588,Hombres,Española,De 10 a 14 años,1 de julio de 2002,Orco
1037973,Hombres,Española,De 10 a 14 años,1 de enero de 2002,Orco
1111393,Mujeres,Española,De 10 a 14 años,1 de enero de 2021,Humano
1112299,Mujeres,Española,De 10 a 14 años,1 de julio de 2020,Orco
1114799,Mujeres,Española,De 10 a 14 años,1 de enero de 2020,Elfo
1112820,Mujeres,Española,De 10 a 14 años,1 de julio de 2019,Humano
1111403,Mujeres,Española,De 10 a 14 años,1 de enero de 2019,Ent
1102102,Mujeres,Española,De 10 a 14 años,1 de julio de 2018,Humano
1093502,Mujeres,Española,De 10 a 14 años,1 de enero de 2018,Orco
1083134,Mujeres,Española,De 10 a 14 años,1 de julio de 2017,Ent
1072819,Mujeres,Española,De 10 a 14 años,1 de enero de 2017,Humano
1061265,Mujeres,Española,De 10 a 14 años,1 de julio de 2016,Ent
1049932,Mujeres,Española,De 10 a 14 años,1 de enero de 2016,Enano
